"","reviewid","label"
"987",21799,"resonance"
"988",21840,"empire"
"989",21840,"blake enterprises"
"990",21840,"diamond lane music group, inc."
"991",21744,"secret city"
"992",21714,"fat possum"
"993",21696,"crammed discs"
"994",21832,"party smasher inc."
"995",21827,"topshelf"
"996",21808,"rockathon"
"997",21807,"audika"
"998",21792,"manifesto"
"999",21695,"mule musiq"
"1000",21709,"mass appeal"
"1001",21709,"payjay"
"1002",21778,"leaving"
"1003",21708,"dust-to-digital"
"1004",21809,"beats in space"
"1005",21758,"atlantic"
"1006",21791,"edamame"
"1007",21699,"other people"
"1008",21831,"self-released"
"1009",21822,"my animal home"
"1010",21800,"sub pop"
"1011",21733,"dead oceans"
"1012",21729,"mello music group"
"1013",21824,"brainbandits"
"1014",21824,"bad habit"
"1015",21681,"dead oceans"
"1016",21680,"52hz"
"1017",21829,"bad half entertainment"
"1018",21636,"drag city"
"1019",21703,"arjunamusic"
"1020",21698,"island"
"1021",21749,"polyvinyl / bella union"
"1022",21697,"double double whammy"
"1023",21742,"unmade road"
"1024",21742,"caroline"
"1025",21780,"peder mannerfelt produktion"
"1026",21755,"self-released"
"1027",21688,"universal"
"1028",21812,"closed sessions"
"1029",21716,"carpark"
"1030",21716,"buzz"
"1031",21732,"dais records"
"1032",21547,"warner bros."
"1033",21562,"western vinyl"
"1034",21811,"triple crown"
"1035",21770,"mind of a genius"
"1036",21752,"captured tracks"
"1037",21769,"mute"
"1038",21690,"teklife"
"1039",21679,"canvasback / atlantic"
"1040",21803,"atlantic"
"1041",21693,"partisan"
"1042",21597,"rough trade"
"1043",21748,"rock action"
"1044",21748,"temporary residence"
"1045",21767,"sounds of crenshaw"
"1046",21767,"ropeadope"
"1047",21594,"hardly art"
"1048",21704,"anthology recordings"
"1049",21635,"4ad"
"1050",21635,"paper bag"
"1051",21796,"third worlds"
"1052",21750,"woodsist"
"1053",21805,"def jam"
"1054",21587,"drag city"
"1055",21587,"domino"
"1056",21775,"artbus records"
"1057",21766,"ninja tune"
"1058",21751,"loma vista"
"1059",21728,"run for cover"
"1060",21674,"pi recordings"
"1061",21756,"warner bros."
"1062",21756,"ovo sound"
"1063",21768,"mute"
"1064",21596,"domino"
"1065",21747,"30th century"
"1066",21747,"columbia"
"1067",21776,"merge"
"1068",21628,"kompakt"
"1069",21627,"running back"
"1070",21576,"x2"
"1071",21633,"relapse"
"1072",21757,"ghostly international"
"1073",21765,"bayonet"
"1074",21779,"merge"
"1075",21741,"computer ugly"
